"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","Create user","LMS service","Fri Sep 12 16:50:30 UTC 2025","passed","Fri Sep 12 16:50:31 UTC 2025","Create entity","Users","",""
"","17","Get file","LMS service","Fri Sep 12 16:50:28 UTC 2025","passed","Fri Sep 12 16:50:28 UTC 2025","Get entity","Files","",""
"","269","Get file with incorrect file id","LMS service","Fri Sep 12 16:50:30 UTC 2025","passed","Fri Sep 12 16:50:30 UTC 2025","Validate entity","Files","",""
"","35","Create course","LMS service","Fri Sep 12 16:50:23 UTC 2025","passed","Fri Sep 12 16:50:23 UTC 2025","Create entity","Courses","",""
"","36","Update course","LMS service","Fri Sep 12 16:50:23 UTC 2025","passed","Fri Sep 12 16:50:23 UTC 2025","Update entity","Courses","",""
"","45","Get exercise","LMS service","Fri Sep 12 16:50:25 UTC 2025","passed","Fri Sep 12 16:50:25 UTC 2025","Get entity","Exercises","",""
"","19","Delete exercise","LMS service","Fri Sep 12 16:50:25 UTC 2025","passed","Fri Sep 12 16:50:25 UTC 2025","Delete entity","Exercises","",""
"","24","Create exercise","LMS service","Fri Sep 12 16:50:24 UTC 2025","passed","Fri Sep 12 16:50:24 UTC 2025","Create entity","Exercises","",""
"","29","Get course","LMS service","Fri Sep 12 16:50:22 UTC 2025","passed","Fri Sep 12 16:50:22 UTC 2025","Get entities","Courses","",""
"","12","Get user","LMS service","Fri Sep 12 16:50:31 UTC 2025","passed","Fri Sep 12 16:50:31 UTC 2025","Get entity","Users","",""
"","23","Delete file","LMS service","Fri Sep 12 16:50:29 UTC 2025","passed","Fri Sep 12 16:50:29 UTC 2025","Delete entity","Files","",""
"","23","Update exercise","LMS service","Fri Sep 12 16:50:24 UTC 2025","passed","Fri Sep 12 16:50:24 UTC 2025","Update entity","Exercises","",""
"","261","Create file with empty directory","LMS service","Fri Sep 12 16:50:29 UTC 2025","passed","Fri Sep 12 16:50:29 UTC 2025","Validate entity","Files","",""
"","556","Login with correct email and password","LMS service","Fri Sep 12 16:50:21 UTC 2025","passed","Fri Sep 12 16:50:22 UTC 2025","Login","Authentication","",""
"","258","Create file with empty filename","LMS service","Fri Sep 12 16:50:28 UTC 2025","passed","Fri Sep 12 16:50:28 UTC 2025","Validate entity","Files","",""
"","21","Create file","LMS service","Fri Sep 12 16:50:27 UTC 2025","passed","Fri Sep 12 16:50:27 UTC 2025","Create entity","Files","",""
"","528","Create user","LMS service","Fri Sep 12 16:50:29 UTC 2025","passed","Fri Sep 12 16:50:30 UTC 2025","Create entity","Users","",""
"","533","Create user","LMS service","Fri Sep 12 16:50:30 UTC 2025","passed","Fri Sep 12 16:50:30 UTC 2025","Create entity","Users","",""
"","23","Create exercise","LMS service","Fri Sep 12 16:50:27 UTC 2025","passed","Fri Sep 12 16:50:27 UTC 2025","Get entities","Exercises","",""
