"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Create user","LMS service","Thu Sep 11 15:59:46 UTC 2025","passed","Thu Sep 11 15:59:47 UTC 2025","Create entity","Users","",""
"","18","Get file","LMS service","Thu Sep 11 15:59:45 UTC 2025","passed","Thu Sep 11 15:59:45 UTC 2025","Get entity","Files","",""
"","557","Create user","LMS service","Thu Sep 11 15:59:47 UTC 2025","passed","Thu Sep 11 15:59:47 UTC 2025","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Thu Sep 11 15:59:44 UTC 2025","passed","Thu Sep 11 15:59:44 UTC 2025","Validate entity","Files","",""
"","296","Delete file","LMS service","Thu Sep 11 15:59:46 UTC 2025","passed","Thu Sep 11 15:59:46 UTC 2025","Delete entity","Files","",""
"","27","Create exercise","LMS service","Thu Sep 11 15:59:41 UTC 2025","passed","Thu Sep 11 15:59:41 UTC 2025","Create entity","Exercises","",""
"","291","Create user","LMS service","Thu Sep 11 15:59:47 UTC 2025","passed","Thu Sep 11 15:59:47 UTC 2025","Create entity","Users","",""
"","22","Update exercise","LMS service","Thu Sep 11 15:59:41 UTC 2025","passed","Thu Sep 11 15:59:41 UTC 2025","Update entity","Exercises","",""
"","20","Create exercise","LMS service","Thu Sep 11 15:59:43 UTC 2025","passed","Thu Sep 11 15:59:43 UTC 2025","Get entities","Exercises","",""
"","12","Get user","LMS service","Thu Sep 11 15:59:48 UTC 2025","passed","Thu Sep 11 15:59:48 UTC 2025","Get entity","Users","",""
"","19","Create file","LMS service","Thu Sep 11 15:59:43 UTC 2025","passed","Thu Sep 11 15:59:43 UTC 2025","Create entity","Files","",""
"","33","Create course","LMS service","Thu Sep 11 15:59:40 UTC 2025","passed","Thu Sep 11 15:59:40 UTC 2025","Create entity","Courses","",""
"","55","Get exercise","LMS service","Thu Sep 11 15:59:42 UTC 2025","passed","Thu Sep 11 15:59:42 UTC 2025","Get entity","Exercises","",""
"","261","Get file with incorrect file id","LMS service","Thu Sep 11 15:59:46 UTC 2025","passed","Thu Sep 11 15:59:47 UTC 2025","Validate entity","Files","",""
"","269","Create file with empty directory","LMS service","Thu Sep 11 15:59:45 UTC 2025","passed","Thu Sep 11 15:59:46 UTC 2025","Validate entity","Files","",""
"","551","Login with correct email and password","LMS service","Thu Sep 11 15:59:38 UTC 2025","passed","Thu Sep 11 15:59:39 UTC 2025","Login","Authentication","",""
"","30","Get course","LMS service","Thu Sep 11 15:59:39 UTC 2025","passed","Thu Sep 11 15:59:39 UTC 2025","Get entities","Courses","",""
"","21","Delete exercise","LMS service","Thu Sep 11 15:59:42 UTC 2025","passed","Thu Sep 11 15:59:42 UTC 2025","Delete entity","Exercises","",""
"","33","Update course","LMS service","Thu Sep 11 15:59:40 UTC 2025","passed","Thu Sep 11 15:59:40 UTC 2025","Update entity","Courses","",""
