"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","556","Create user","LMS service","Fri Sep 12 15:28:21 UTC 2025","passed","Fri Sep 12 15:28:22 UTC 2025","Create entity","Users","",""
"","24","Update exercise","LMS service","Fri Sep 12 15:28:16 UTC 2025","passed","Fri Sep 12 15:28:16 UTC 2025","Update entity","Exercises","",""
"","258","Create file with empty directory","LMS service","Fri Sep 12 15:28:20 UTC 2025","passed","Fri Sep 12 15:28:20 UTC 2025","Validate entity","Files","",""
"","48","Get exercise","LMS service","Fri Sep 12 15:28:17 UTC 2025","passed","Fri Sep 12 15:28:17 UTC 2025","Get entity","Exercises","",""
"","31","Create course","LMS service","Fri Sep 12 15:28:15 UTC 2025","passed","Fri Sep 12 15:28:15 UTC 2025","Create entity","Courses","",""
"","23","Create exercise","LMS service","Fri Sep 12 15:28:16 UTC 2025","passed","Fri Sep 12 15:28:16 UTC 2025","Create entity","Exercises","",""
"","22","Create exercise","LMS service","Fri Sep 12 15:28:18 UTC 2025","passed","Fri Sep 12 15:28:18 UTC 2025","Get entities","Exercises","",""
"","11","Get user","LMS service","Fri Sep 12 15:28:23 UTC 2025","passed","Fri Sep 12 15:28:23 UTC 2025","Get entity","Users","",""
"","17","Get file","LMS service","Fri Sep 12 15:28:19 UTC 2025","passed","Fri Sep 12 15:28:19 UTC 2025","Get entity","Files","",""
"","262","Create file with empty filename","LMS service","Fri Sep 12 15:28:19 UTC 2025","passed","Fri Sep 12 15:28:19 UTC 2025","Validate entity","Files","",""
"","31","Get course","LMS service","Fri Sep 12 15:28:13 UTC 2025","passed","Fri Sep 12 15:28:13 UTC 2025","Get entities","Courses","",""
"","291","Create user","LMS service","Fri Sep 12 15:28:21 UTC 2025","passed","Fri Sep 12 15:28:22 UTC 2025","Create entity","Users","",""
"","262","Get file with incorrect file id","LMS service","Fri Sep 12 15:28:21 UTC 2025","passed","Fri Sep 12 15:28:21 UTC 2025","Validate entity","Files","",""
"","40","Update course","LMS service","Fri Sep 12 15:28:15 UTC 2025","passed","Fri Sep 12 15:28:15 UTC 2025","Update entity","Courses","",""
"","18","Delete exercise","LMS service","Fri Sep 12 15:28:17 UTC 2025","passed","Fri Sep 12 15:28:17 UTC 2025","Delete entity","Exercises","",""
"","550","Login with correct email and password","LMS service","Fri Sep 12 15:28:13 UTC 2025","passed","Fri Sep 12 15:28:13 UTC 2025","Login","Authentication","",""
"","544","Create user","LMS service","Fri Sep 12 15:28:21 UTC 2025","passed","Fri Sep 12 15:28:21 UTC 2025","Create entity","Users","",""
"","23","Create file","LMS service","Fri Sep 12 15:28:18 UTC 2025","passed","Fri Sep 12 15:28:18 UTC 2025","Create entity","Files","",""
"","291","Delete file","LMS service","Fri Sep 12 15:28:20 UTC 2025","passed","Fri Sep 12 15:28:21 UTC 2025","Delete entity","Files","",""
