"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","544","Create user","LMS service","Fri Sep 12 16:08:33 UTC 2025","passed","Fri Sep 12 16:08:33 UTC 2025","Create entity","Users","",""
"","29","Create exercise","LMS service","Fri Sep 12 16:08:30 UTC 2025","passed","Fri Sep 12 16:08:30 UTC 2025","Get entities","Exercises","",""
"","14","Get user","LMS service","Fri Sep 12 16:08:35 UTC 2025","passed","Fri Sep 12 16:08:35 UTC 2025","Get entity","Users","",""
"","20","Delete exercise","LMS service","Fri Sep 12 16:08:29 UTC 2025","passed","Fri Sep 12 16:08:29 UTC 2025","Delete entity","Exercises","",""
"","33","Update course","LMS service","Fri Sep 12 16:08:27 UTC 2025","passed","Fri Sep 12 16:08:27 UTC 2025","Update entity","Courses","",""
"","292","Create user","LMS service","Fri Sep 12 16:08:33 UTC 2025","passed","Fri Sep 12 16:08:34 UTC 2025","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Fri Sep 12 16:08:31 UTC 2025","passed","Fri Sep 12 16:08:31 UTC 2025","Validate entity","Files","",""
"","294","Delete file","LMS service","Fri Sep 12 16:08:33 UTC 2025","passed","Fri Sep 12 16:08:33 UTC 2025","Delete entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Fri Sep 12 16:08:33 UTC 2025","passed","Fri Sep 12 16:08:33 UTC 2025","Validate entity","Files","",""
"","263","Create file with empty directory","LMS service","Fri Sep 12 16:08:32 UTC 2025","passed","Fri Sep 12 16:08:32 UTC 2025","Validate entity","Files","",""
"","24","Create file","LMS service","Fri Sep 12 16:08:30 UTC 2025","passed","Fri Sep 12 16:08:30 UTC 2025","Create entity","Files","",""
"","550","Login with correct email and password","LMS service","Fri Sep 12 16:08:25 UTC 2025","passed","Fri Sep 12 16:08:25 UTC 2025","Login","Authentication","",""
"","26","Create exercise","LMS service","Fri Sep 12 16:08:28 UTC 2025","passed","Fri Sep 12 16:08:28 UTC 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Fri Sep 12 16:08:31 UTC 2025","passed","Fri Sep 12 16:08:31 UTC 2025","Get entity","Files","",""
"","33","Create course","LMS service","Fri Sep 12 16:08:27 UTC 2025","passed","Fri Sep 12 16:08:27 UTC 2025","Create entity","Courses","",""
"","34","Get course","LMS service","Fri Sep 12 16:08:25 UTC 2025","passed","Fri Sep 12 16:08:25 UTC 2025","Get entities","Courses","",""
"","50","Get exercise","LMS service","Fri Sep 12 16:08:29 UTC 2025","passed","Fri Sep 12 16:08:29 UTC 2025","Get entity","Exercises","",""
"","557","Create user","LMS service","Fri Sep 12 16:08:33 UTC 2025","passed","Fri Sep 12 16:08:34 UTC 2025","Create entity","Users","",""
"","21","Update exercise","LMS service","Fri Sep 12 16:08:28 UTC 2025","passed","Fri Sep 12 16:08:28 UTC 2025","Update entity","Exercises","",""
