"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Get file","LMS service","Fri Sep 12 16:05:33 UTC 2025","passed","Fri Sep 12 16:05:33 UTC 2025","Get entity","Files","",""
"","36","Update course","LMS service","Fri Sep 12 16:05:28 UTC 2025","passed","Fri Sep 12 16:05:28 UTC 2025","Update entity","Courses","",""
"","558","Create user","LMS service","Fri Sep 12 16:05:35 UTC 2025","passed","Fri Sep 12 16:05:36 UTC 2025","Create entity","Users","",""
"","20","Delete exercise","LMS service","Fri Sep 12 16:05:31 UTC 2025","passed","Fri Sep 12 16:05:31 UTC 2025","Delete entity","Exercises","",""
"","24","Get exercise","LMS service","Fri Sep 12 16:05:31 UTC 2025","passed","Fri Sep 12 16:05:31 UTC 2025","Get entity","Exercises","",""
"","35","Create course","LMS service","Fri Sep 12 16:05:28 UTC 2025","passed","Fri Sep 12 16:05:28 UTC 2025","Create entity","Courses","",""
"","264","Get file with incorrect file id","LMS service","Fri Sep 12 16:05:35 UTC 2025","passed","Fri Sep 12 16:05:35 UTC 2025","Validate entity","Files","",""
"","19","Delete file","LMS service","Fri Sep 12 16:05:35 UTC 2025","passed","Fri Sep 12 16:05:35 UTC 2025","Delete entity","Files","",""
"","261","Create file with empty filename","LMS service","Fri Sep 12 16:05:33 UTC 2025","passed","Fri Sep 12 16:05:33 UTC 2025","Validate entity","Files","",""
"","266","Create file with empty directory","LMS service","Fri Sep 12 16:05:34 UTC 2025","passed","Fri Sep 12 16:05:34 UTC 2025","Validate entity","Files","",""
"","23","Update exercise","LMS service","Fri Sep 12 16:05:29 UTC 2025","passed","Fri Sep 12 16:05:30 UTC 2025","Update entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Fri Sep 12 16:05:27 UTC 2025","passed","Fri Sep 12 16:05:27 UTC 2025","Login","Authentication","",""
"","23","Create exercise","LMS service","Fri Sep 12 16:05:29 UTC 2025","passed","Fri Sep 12 16:05:29 UTC 2025","Create entity","Exercises","",""
"","24","Create exercise","LMS service","Fri Sep 12 16:05:32 UTC 2025","passed","Fri Sep 12 16:05:32 UTC 2025","Get entities","Exercises","",""
"","294","Create user","LMS service","Fri Sep 12 16:05:35 UTC 2025","passed","Fri Sep 12 16:05:35 UTC 2025","Create entity","Users","",""
"","535","Create user","LMS service","Fri Sep 12 16:05:35 UTC 2025","passed","Fri Sep 12 16:05:35 UTC 2025","Create entity","Users","",""
"","21","Create file","LMS service","Fri Sep 12 16:05:32 UTC 2025","passed","Fri Sep 12 16:05:32 UTC 2025","Create entity","Files","",""
"","13","Get user","LMS service","Fri Sep 12 16:05:36 UTC 2025","passed","Fri Sep 12 16:05:36 UTC 2025","Get entity","Users","",""
"","28","Get course","LMS service","Fri Sep 12 16:05:27 UTC 2025","passed","Fri Sep 12 16:05:27 UTC 2025","Get entities","Courses","",""
