"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Login with correct email and password","LMS service","Fri Sep 12 15:23:29 UTC 2025","passed","Fri Sep 12 15:23:30 UTC 2025","Login","Authentication","",""
"","20","Create exercise","LMS service","Fri Sep 12 15:23:35 UTC 2025","passed","Fri Sep 12 15:23:35 UTC 2025","Get entities","Exercises","",""
"","265","Create file with empty filename","LMS service","Fri Sep 12 15:23:35 UTC 2025","passed","Fri Sep 12 15:23:36 UTC 2025","Validate entity","Files","",""
"","32","Create exercise","LMS service","Fri Sep 12 15:23:32 UTC 2025","passed","Fri Sep 12 15:23:32 UTC 2025","Create entity","Exercises","",""
"","16","Get user","LMS service","Fri Sep 12 15:23:39 UTC 2025","passed","Fri Sep 12 15:23:39 UTC 2025","Get entity","Users","",""
"","23","Update exercise","LMS service","Fri Sep 12 15:23:32 UTC 2025","passed","Fri Sep 12 15:23:32 UTC 2025","Update entity","Exercises","",""
"","286","Get file","LMS service","Fri Sep 12 15:23:36 UTC 2025","passed","Fri Sep 12 15:23:36 UTC 2025","Get entity","Files","",""
"","559","Create user","LMS service","Fri Sep 12 15:23:38 UTC 2025","passed","Fri Sep 12 15:23:38 UTC 2025","Create entity","Users","",""
"","30","Get course","LMS service","Fri Sep 12 15:23:30 UTC 2025","passed","Fri Sep 12 15:23:30 UTC 2025","Get entities","Courses","",""
"","263","Create file with empty directory","LMS service","Fri Sep 12 15:23:36 UTC 2025","passed","Fri Sep 12 15:23:37 UTC 2025","Validate entity","Files","",""
"","270","Get file with incorrect file id","LMS service","Fri Sep 12 15:23:38 UTC 2025","passed","Fri Sep 12 15:23:38 UTC 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Fri Sep 12 15:23:31 UTC 2025","passed","Fri Sep 12 15:23:31 UTC 2025","Create entity","Courses","",""
"","58","Get exercise","LMS service","Fri Sep 12 15:23:33 UTC 2025","passed","Fri Sep 12 15:23:33 UTC 2025","Get entity","Exercises","",""
"","26","Create file","LMS service","Fri Sep 12 15:23:35 UTC 2025","passed","Fri Sep 12 15:23:35 UTC 2025","Create entity","Files","",""
"","21","Delete exercise","LMS service","Fri Sep 12 15:23:33 UTC 2025","passed","Fri Sep 12 15:23:33 UTC 2025","Delete entity","Exercises","",""
"","25","Delete file","LMS service","Fri Sep 12 15:23:37 UTC 2025","passed","Fri Sep 12 15:23:37 UTC 2025","Delete entity","Files","",""
"","534","Create user","LMS service","Fri Sep 12 15:23:37 UTC 2025","passed","Fri Sep 12 15:23:38 UTC 2025","Create entity","Users","",""
"","291","Create user","LMS service","Fri Sep 12 15:23:38 UTC 2025","passed","Fri Sep 12 15:23:38 UTC 2025","Create entity","Users","",""
"","36","Update course","LMS service","Fri Sep 12 15:23:31 UTC 2025","passed","Fri Sep 12 15:23:31 UTC 2025","Update entity","Courses","",""
