"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","551","Create user","LMS service","Fri Sep 12 16:02:09 UTC 2025","passed","Fri Sep 12 16:02:09 UTC 2025","Create entity","Users","",""
"","21","Delete exercise","LMS service","Fri Sep 12 16:02:05 UTC 2025","passed","Fri Sep 12 16:02:05 UTC 2025","Delete entity","Exercises","",""
"","258","Create file with empty filename","LMS service","Fri Sep 12 16:02:07 UTC 2025","passed","Fri Sep 12 16:02:07 UTC 2025","Validate entity","Files","",""
"","18","Get file","LMS service","Fri Sep 12 16:02:07 UTC 2025","passed","Fri Sep 12 16:02:07 UTC 2025","Get entity","Files","",""
"","32","Get course","LMS service","Fri Sep 12 16:02:01 UTC 2025","passed","Fri Sep 12 16:02:01 UTC 2025","Get entities","Courses","",""
"","291","Create user","LMS service","Fri Sep 12 16:02:09 UTC 2025","passed","Fri Sep 12 16:02:09 UTC 2025","Create entity","Users","",""
"","26","Create file","LMS service","Fri Sep 12 16:02:06 UTC 2025","passed","Fri Sep 12 16:02:06 UTC 2025","Create entity","Files","",""
"","22","Update exercise","LMS service","Fri Sep 12 16:02:03 UTC 2025","passed","Fri Sep 12 16:02:03 UTC 2025","Update entity","Exercises","",""
"","554","Create user","LMS service","Fri Sep 12 16:02:09 UTC 2025","passed","Fri Sep 12 16:02:10 UTC 2025","Create entity","Users","",""
"","555","Login with correct email and password","LMS service","Fri Sep 12 16:02:00 UTC 2025","passed","Fri Sep 12 16:02:01 UTC 2025","Login","Authentication","",""
"","39","Update course","LMS service","Fri Sep 12 16:02:02 UTC 2025","passed","Fri Sep 12 16:02:02 UTC 2025","Update entity","Courses","",""
"","13","Get user","LMS service","Fri Sep 12 16:02:10 UTC 2025","passed","Fri Sep 12 16:02:10 UTC 2025","Get entity","Users","",""
"","47","Get exercise","LMS service","Fri Sep 12 16:02:05 UTC 2025","passed","Fri Sep 12 16:02:05 UTC 2025","Get entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Fri Sep 12 16:02:08 UTC 2025","passed","Fri Sep 12 16:02:08 UTC 2025","Validate entity","Files","",""
"","294","Delete file","LMS service","Fri Sep 12 16:02:08 UTC 2025","passed","Fri Sep 12 16:02:09 UTC 2025","Delete entity","Files","",""
"","31","Create course","LMS service","Fri Sep 12 16:02:02 UTC 2025","passed","Fri Sep 12 16:02:02 UTC 2025","Create entity","Courses","",""
"","30","Create exercise","LMS service","Fri Sep 12 16:02:06 UTC 2025","passed","Fri Sep 12 16:02:06 UTC 2025","Get entities","Exercises","",""
"","28","Create exercise","LMS service","Fri Sep 12 16:02:03 UTC 2025","passed","Fri Sep 12 16:02:03 UTC 2025","Create entity","Exercises","",""
"","268","Get file with incorrect file id","LMS service","Fri Sep 12 16:02:09 UTC 2025","passed","Fri Sep 12 16:02:09 UTC 2025","Validate entity","Files","",""
