"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user","LMS service","Thu Sep 11 15:22:06 UTC 2025","passed","Thu Sep 11 15:22:06 UTC 2025","Get entity","Users","",""
"","21","Get file","LMS service","Thu Sep 11 15:22:02 UTC 2025","passed","Thu Sep 11 15:22:03 UTC 2025","Get entity","Files","",""
"","25","Create exercise","LMS service","Thu Sep 11 15:22:01 UTC 2025","passed","Thu Sep 11 15:22:01 UTC 2025","Get entities","Exercises","",""
"","554","Create user","LMS service","Thu Sep 11 15:22:04 UTC 2025","passed","Thu Sep 11 15:22:05 UTC 2025","Create entity","Users","",""
"","32","Create course","LMS service","Thu Sep 11 15:21:58 UTC 2025","passed","Thu Sep 11 15:21:58 UTC 2025","Create entity","Courses","",""
"","26","Create exercise","LMS service","Thu Sep 11 15:21:59 UTC 2025","passed","Thu Sep 11 15:21:59 UTC 2025","Create entity","Exercises","",""
"","289","Create user","LMS service","Thu Sep 11 15:22:05 UTC 2025","passed","Thu Sep 11 15:22:05 UTC 2025","Create entity","Users","",""
"","293","Delete file","LMS service","Thu Sep 11 15:22:04 UTC 2025","passed","Thu Sep 11 15:22:04 UTC 2025","Delete entity","Files","",""
"","60","Get exercise","LMS service","Thu Sep 11 15:22:00 UTC 2025","passed","Thu Sep 11 15:22:00 UTC 2025","Get entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Thu Sep 11 15:22:02 UTC 2025","passed","Thu Sep 11 15:22:02 UTC 2025","Validate entity","Files","",""
"","34","Get course","LMS service","Thu Sep 11 15:21:57 UTC 2025","passed","Thu Sep 11 15:21:57 UTC 2025","Get entities","Courses","",""
"","288","Login with correct email and password","LMS service","Thu Sep 11 15:21:56 UTC 2025","passed","Thu Sep 11 15:21:56 UTC 2025","Login","Authentication","",""
"","21","Delete exercise","LMS service","Thu Sep 11 15:22:00 UTC 2025","passed","Thu Sep 11 15:22:00 UTC 2025","Delete entity","Exercises","",""
"","23","Create file","LMS service","Thu Sep 11 15:22:01 UTC 2025","passed","Thu Sep 11 15:22:01 UTC 2025","Create entity","Files","",""
"","20","Update exercise","LMS service","Thu Sep 11 15:21:59 UTC 2025","passed","Thu Sep 11 15:21:59 UTC 2025","Update entity","Exercises","",""
"","268","Get file with incorrect file id","LMS service","Thu Sep 11 15:22:04 UTC 2025","passed","Thu Sep 11 15:22:05 UTC 2025","Validate entity","Files","",""
"","301","Update course","LMS service","Thu Sep 11 15:21:57 UTC 2025","passed","Thu Sep 11 15:21:58 UTC 2025","Update entity","Courses","",""
"","268","Create file with empty directory","LMS service","Thu Sep 11 15:22:03 UTC 2025","passed","Thu Sep 11 15:22:04 UTC 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Thu Sep 11 15:22:05 UTC 2025","passed","Thu Sep 11 15:22:05 UTC 2025","Create entity","Users","",""
