"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercise","LMS service","Thu Sep 11 15:36:42 UTC 2025","passed","Thu Sep 11 15:36:42 UTC 2025","Get entity","Exercises","",""
"","562","Create user","LMS service","Thu Sep 11 15:36:46 UTC 2025","passed","Thu Sep 11 15:36:47 UTC 2025","Create entity","Users","",""
"","292","Update exercise","LMS service","Thu Sep 11 15:36:41 UTC 2025","passed","Thu Sep 11 15:36:41 UTC 2025","Update entity","Exercises","",""
"","284","Login with correct email and password","LMS service","Thu Sep 11 15:36:38 UTC 2025","passed","Thu Sep 11 15:36:38 UTC 2025","Login","Authentication","",""
"","35","Update course","LMS service","Thu Sep 11 15:36:39 UTC 2025","passed","Thu Sep 11 15:36:39 UTC 2025","Update entity","Courses","",""
"","262","Create file with empty filename","LMS service","Thu Sep 11 15:36:44 UTC 2025","passed","Thu Sep 11 15:36:45 UTC 2025","Validate entity","Files","",""
"","268","Get file with incorrect file id","LMS service","Thu Sep 11 15:36:46 UTC 2025","passed","Thu Sep 11 15:36:46 UTC 2025","Validate entity","Files","",""
"","31","Create course","LMS service","Thu Sep 11 15:36:40 UTC 2025","passed","Thu Sep 11 15:36:40 UTC 2025","Create entity","Courses","",""
"","290","Delete exercise","LMS service","Thu Sep 11 15:36:42 UTC 2025","passed","Thu Sep 11 15:36:42 UTC 2025","Delete entity","Exercises","",""
"","16","Get file","LMS service","Thu Sep 11 15:36:44 UTC 2025","passed","Thu Sep 11 15:36:44 UTC 2025","Get entity","Files","",""
"","20","Delete file","LMS service","Thu Sep 11 15:36:46 UTC 2025","passed","Thu Sep 11 15:36:46 UTC 2025","Delete entity","Files","",""
"","290","Create user","LMS service","Thu Sep 11 15:36:46 UTC 2025","passed","Thu Sep 11 15:36:47 UTC 2025","Create entity","Users","",""
"","270","Create file","LMS service","Thu Sep 11 15:36:43 UTC 2025","passed","Thu Sep 11 15:36:43 UTC 2025","Create entity","Files","",""
"","533","Create user","LMS service","Thu Sep 11 15:36:46 UTC 2025","passed","Thu Sep 11 15:36:46 UTC 2025","Create entity","Users","",""
"","269","Create file with empty directory","LMS service","Thu Sep 11 15:36:45 UTC 2025","passed","Thu Sep 11 15:36:45 UTC 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Thu Sep 11 15:36:40 UTC 2025","passed","Thu Sep 11 15:36:40 UTC 2025","Create entity","Exercises","",""
"","18","Create exercise","LMS service","Thu Sep 11 15:36:43 UTC 2025","passed","Thu Sep 11 15:36:43 UTC 2025","Get entities","Exercises","",""
"","12","Get user","LMS service","Thu Sep 11 15:36:47 UTC 2025","passed","Thu Sep 11 15:36:47 UTC 2025","Get entity","Users","",""
"","35","Get course","LMS service","Thu Sep 11 15:36:39 UTC 2025","passed","Thu Sep 11 15:36:39 UTC 2025","Get entities","Courses","",""
